"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Nitrate as N_mg/l","pH_phunits","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"31",496,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2020-10-06",75,FALSE,2,5562,"GADE","TL0412810065",803205,1,"",2019-10-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",794686,"2019-10-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,56,4.67,16,80.2,5.01,9,18,2,5,3,5,10,16,81,5.06,7.88,9.23,85.37,4.54,6.49,69.95,13,100,7.69,15,115,7.67,22,37,59.46,19,33,57.58,16,85,5.31,"No",2019,10,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",0.0273333333333333,139.5,15.4333333333333,0.0378,0.00062,3.79666666666667,3.76,7.84666666666667,13.84,0.0333333333333333,3.14666666666667,NA,11.0833333333333,57.8666666666667,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",120,757,7,1,357,0,4,0,22,10,29,1281,7,361
"32",505,"THAMES - SOUTH EAST","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (CARSHALTON ARM)",34330,1,"TQ",28195,65255,"TQ2819565255","GB106039017640",29,10,1.19,1,5.3,12.67,26,46,20,8,225,NA,NA,NA,"1995-01-01","1985-02-26","2021-04-12",53,FALSE,1,5698,"WANDLE (CARSHALTON ARM)","TQ2819565255",802231,1,"",2019-10-01,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",794129,"2019-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,116,4.83,28,127.5,4.55,23,32,1.39,3,5,5,6.96,22,99,4.5,9.26,16.26,56.95,6.3,10.21,61.7,23,151,6.57,25,169,6.76,20,60,33.33,21,50,42,28,134.3,4.8,"No",2019,10,"529480E3-2130-43C7-A5CD-B00A4CE31C06","TH-PWAR0045",0.043,101.75,15.55,0.0212,0.001365,5.695,5.675,7.91,10.125,0.0525,NA,NA,3.15,3.65,"529480E3-2130-43C7-A5CD-B00A4CE31C06",48,272,4,6,541,0,4,0,116,141,43,1134,10,545
"33",512,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2020-10-06",60,FALSE,1,5772,"LEE (THAMES)","TL2983509755",804677,1,"",2019-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798033,"2020-02-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,152,6.08,30,169.5,5.65,27,47,1.74,5,7,7,12.19,24,128,5.33,14.52,24.57,59.1,11.3,17.61,64.17,27,197,7.3,37,273,7.38,36,84,42.86,31,61,50.82,30,170.4,5.68,"No",2019,11,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",0.2905,94.25,16.45,0.04625,0.00108,17.5,17.45,7.915,9.26,0.048,NA,0.3465,23.7,8,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",46,126,0,295,898,3,337,0,83,832,53,2620,24,1235
"34",513,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2020-10-07",87,FALSE,1,5826,"MIMRAM","TL2788613403",806371,1,"",2019-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797617,"2019-10-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",32,186,5.81,38,225.1,5.92,34,65,1.91,5,7,7,13.38,32,160,5,23.76,30.86,76.99,10.81,16.16,66.89,31,226,7.29,41,317,7.73,49,81,60.49,36,67,53.73,38,226,5.95,"No",2019,10,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",0.0406666666666667,113.466666666667,15.5,0.0155,0.000603333333333333,4.91,4.89666666666667,7.85,11.2666666666667,0.03,NA,NA,4.11666666666667,4,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",282,2291,12,7,507,3,548,1,31,38,55,3726,22,1056
"35",514,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34344,1,"TL",37056,27494,"TL3705627494","GB106038040140",80,2.5,11.59,1,3.7,10,12,77,4,6,272,NA,NA,NA,"1995-01-01","1983-08-09","2019-10-14",40,FALSE,1,5843,"RIB","TL3705627494",802872,1,"",2019-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798080,"2019-10-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,95,5,19,98.4,5.18,17,30,1.76,3,3,3,5.29,15,70,4.67,12.89,16.94,76.09,8.02,10.43,76.89,17,121,7.12,21,157,7.48,26,51,50.98,21,35,60,19,97.8,5.15,"No",2019,10,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5","TH-PLER0126",3.8,72.5,14.8666666666667,0.0446666666666667,0.000663333333333333,21.3333333333333,21.3,7.73333333333333,7.31,0.0436666666666667,NA,NA,NA,NA,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5",23,76,0,236,132,0,23,1,39,96,31,626,12,156
"36",517,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34347,1,"TL",35849,17446,"TL3584917446","GB106038033360",49,2,28.33,2,8,15,23,55,11,11,272,NA,NA,NA,"2012-10-04","1979-09-10","2021-04-27",60,FALSE,1,5917,"RIB","TL3584917446",804681,1,"",2019-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796842,"2020-01-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,122,5.55,26,152.9,5.88,22,40,1.82,7,5,7,12.73,25,119,4.76,17.39,20.94,83.05,9.84,13.24,74.32,23,169,7.35,28,218,7.79,44,71,61.97,31,50,62,26,152.5,5.87,"No",2019,11,"766A6D74-181F-4322-B357-D4CDCB2E18B8","TH-PLER0228",0.61,90.2,17,0.0104,0.000915,5.7,5.69,8.11,8.695,0.03,NA,NA,17,4,"766A6D74-181F-4322-B357-D4CDCB2E18B8",70,56,0,117,266,0,351,0,83,110,55,1055,23,617
"37",521,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2020-11-12",52,FALSE,1,5988,"RODING","TL5610404058",800582,1,"",2019-09-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797040,"2020-01-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,54,4.5,17,79.5,4.68,8,18,2.25,7,3,7,15.75,15,63,4.2,1.5,4.2,35.71,NA,3.66,0,12,74,6.17,10,64,6.4,3,17,17.65,5,22,22.73,17,78.3,4.61,"No",2019,9,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",0.474666666666667,62.4333333333333,16.0666666666667,0.0214333333333333,0.000916666666666667,2.17,2.15,7.80666666666667,6.18666666666667,0.0503333333333333,NA,NA,6.45,3.4,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",0,31,0,7,3,0,0,0,99,11,28,176,2,3
"38",525,"THAMES - NORTH EAST","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2020-11-18",78,FALSE,1,6078,"ASH (LEE)","TL4242016910",802278,1,"",2019-10-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798157,"2020-02-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,103,4.48,28,134.6,4.81,18,36,2,5,5,5,10,24,109,4.54,13.51,19.03,70.99,7.01,11.39,61.55,24,166,6.92,24,183,7.63,29,54,53.7,27,55,49.09,28,137.8,4.92,"No",2019,10,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",0.0326666666666667,97.3333333333333,14.3,0.0363333333333333,0.000523333333333333,5.7,5.66666666666667,7.75666666666667,9.95,0.0376666666666667,NA,NA,NA,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",69,419,1,19,22,0,215,0,2086,447,43,3295,8,237
"39",526,"THAMES - NORTH EAST","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2021-04-27",75,FALSE,1,6122,"ASH (LEE)","TL3770013300",806891,1,"",2019-11-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",798654,"2020-02-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,130,5.91,25,143.8,5.75,20,36,1.8,5,5,5,9,20,103,5.15,13.26,17.41,76.16,6.56,9.47,69.27,22,161,7.32,28,212,7.57,29,53,54.72,25,42,59.52,25,144.6,5.78,"No",2019,11,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",0.53,80.2,14.3333333333333,0.0266666666666667,0.000416666666666667,6.3,6.27666666666667,7.66666666666667,8.18333333333333,0.0353333333333333,1.06666666666667,NA,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",34,88,0,44,55,0,64,0,44,51,41,380,19,119
"40",528,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2020-10-06",75,FALSE,2,6179,"STEVENAGE BROOK","TL2870020400",802725,1,"",2019-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",795785,"2019-10-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,60,4.29,16,68.3,4.27,10,11,1.1,1,3,3,3.3,11,36,3.27,2.13,5.55,38.38,2.01,4.44,45.27,12,77,6.42,13,80,6.15,4,29,13.79,7,24,29.17,16,69.1,4.32,"No",2019,10,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",0.17,97.9,17.7,0.058,0.00144,4.2,4.14,8.14,9.3,0.045,NA,NA,NA,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",113,10,9,11,14,0,0,0,31,73,25,263,3,14
"41",528,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2020-10-06",75,FALSE,2,6181,"STEVENAGE BROOK","TL2870020400",806372,1,"",2019-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797618,"2019-10-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,84,4.67,22,92.3,4.2,16,20,1.25,3,3,3,3.75,17,67,3.94,2.63,9.24,28.46,2.52,7.62,33.07,17,106,6.24,20,123,6.15,6,44,13.64,8,39,20.51,22,94.2,4.28,"Yes",2019,10,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",0.17,97.9,17.7,0.058,0.00144,4.2,4.14,8.14,9.3,0.045,NA,NA,NA,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",328,42,21,16,10,1,0,0,63,626,30,1110,2,10
"42",534,"THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CLASFORD BROOK",34380,1,"SU",94660,52820,"SU9466052820","GB106039017850",38,1.7,2.15,1,3.2,26.7,5,69,23,3,93.8,NA,NA,NA,"2012-10-04","1999-04-26","2020-10-15",9,FALSE,1,6217,"CLASFORD BROOK","SU9466052820",800580,1,"",2019-09-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local monitoring",797095,"2019-09-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,135,6.14,24,144,6,22,47,2.14,5,5,5,10.68,22,105,4.77,8.5,14.87,57.16,3.75,8.6,43.6,20,136,6.8,26,188,7.23,19,45,42.22,14,36,38.89,24,146.8,6.12,"No",2019,9,"1032DB77-AFA2-4ADC-BBBC-57C9D2EBB0B5","TH-PWER0152",0.033,77.1,15.5,0.027,0.00043,3.6,3.57,7.4,7.67,0.061,NA,NA,NA,NA,"1032DB77-AFA2-4ADC-BBBC-57C9D2EBB0B5",34,60,0,121,40,2,47,22,177,55,36,562,13,109
"43",647,"THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","OCK(SURREY)",35162,1,"SU",96543,43651,"SU9654343651","GB106039017790",40,3.1,6.8,1,3.4,26.67,12,8,45,35,132,NA,NA,NA,"1995-01-01","1990-05-21","2019-09-05",19,FALSE,1,6946,"OCK(SURREY)","SU9654343651",801103,1,"",2019-09-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797079,"2019-09-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,113,6.28,20,122,6.1,17,44,2.59,7,5,7,18.12,19,111,5.84,13.88,16.95,81.89,7.01,11.36,61.71,17,132,7.76,20,164,8.2,33,47,70.21,26,38,68.42,20,125.7,6.29,"No",2019,9,"17565B3F-4ECC-401C-BDA3-A37E2B63EBEC","TH-PWER0128",0.052,97.6,17.9,0.019,0.00126,3.2,3.18,8.13,9.23,0.039,NA,NA,NA,NA,"17565B3F-4ECC-401C-BDA3-A37E2B63EBEC",6,1509,0,3,65,34,18,1,69,931,32,2636,11,84
"44",675,"THAMES - WEST","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","SUL",35261,1,"SU",64233,74102,"SU6423374102","GB106039023280",43,1.2,2.3,1,12.2,19,0,3,3,93,242,NA,NA,NA,"1995-01-01","1990-04-25","2019-11-05",39,FALSE,1,7190,"SUL","SU6423374102",804203,1,"",2019-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797841,"2020-01-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,62,3.88,19,75.7,3.98,11,18,1.64,3,3,3,4.91,14,52,3.71,1.5,8.23,18.23,1,4.9,20.41,14,83,5.93,14,80,5.71,1,30,3.33,6,31,19.35,19,77.3,4.07,"No",2019,11,"CB070AC1-950E-4F0B-9234-2C40B7D91DC2","TH-PPSR0006",0.013,55.9,15.8,0.027,0.00071,0.79,0.763,7.55,5.53,0.071,2.46,NA,NA,NA,"CB070AC1-950E-4F0B-9234-2C40B7D91DC2",84,68,0,4,15,0,0,0,67,464,29,707,2,15
"45",679,"THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","FLEET MARSTON BROOK",35267,1,"SP",78462,15578,"SP7846215578","GB106039030420",70,1.7,8.29,1,3,33.67,10,55,12,23,220,NA,NA,NA,"1995-01-01","1990-03-21","2019-09-19",26,FALSE,1,7229,"FLEET MARSTON BROOK","SP7846215578",801787,1,"",2019-09-19,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798321,"2020-02-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",9,29,3.22,9,29.2,3.24,5,7,1.4,3,1,3,4.2,9,28,3.11,NA,3.19,0,NA,2.69,0,7,41,5.86,6,36,6,NA,16,0,NA,18,0,9,30.1,3.34,"No",2019,9,"A6545B1C-363F-4634-94BC-3A7AC10E3FB7","TH-PTAR0007",0.279,100.4,12.5,0.153,0.00482,11.3,11.1,7.99,10.7,0.225,NA,NA,NA,NA,"A6545B1C-363F-4634-94BC-3A7AC10E3FB7",4,37,0,1,0,0,0,0,175,21,14,238,0,0
"46",711,"THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (NORTH)",35402,1,"SU",80324,44244,"SU8032444244","GB106039017830",73,1.7,13.118,2,7.1,28.33,10,32,40,18,253,NA,NA,NA,"1995-01-01","1995-03-08","2021-04-08",41,FALSE,1,7540,"WEY (NORTH)","SU8032444244",804688,1,"",2019-09-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796018,"2019-12-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,142,6.17,23,139.5,6.07,25,57,2.28,5,5,5,11.4,20,118,5.9,19.76,23.81,82.99,9.29,13.16,70.59,21,162,7.71,32,259,8.09,47,74,63.51,28,44,63.64,23,140.1,6.09,"No",2019,9,"5904C1CB-09BA-4F66-A2CA-E55872A51D5E","TH-PWER0115",0.381,109.7,16.3,0.0375,0.00023,10.4,10.4,7.38,10.7,0.033,NA,NA,5.55,5.1,"5904C1CB-09BA-4F66-A2CA-E55872A51D5E",203,282,0,70,93,3,310,0,209,406,53,1583,23,403
"47",719,"THAMES - WEST","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","PANG",35443,1,"SU",59031,72038,"SU5903172038","GB106039023300",55,2,15.2,1,6.7,33.33,2,35,43,20,218,NA,NA,NA,"1995-01-01","1989-03-17","2021-04-16",50,FALSE,1,7693,"PANG","SU5903172038",803055,1,"",2019-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797041,"2020-01-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,167,6.42,30,183.2,6.11,20,36,1.8,5,7,7,12.6,24,140,5.83,16.75,21.04,79.61,10.53,14.18,74.26,26,198,7.62,29,229,7.9,36,57,63.16,30,48,62.5,30,185.5,6.18,"No",2019,10,"508A57BD-737B-474E-89FD-F4938F563071","TH-PPSR0016",0.027,93.3666666666667,12.7666666666667,0.0125,0.000353333333333333,7.05,7.04,7.71666666666667,9.85,0.03,NA,NA,3.16666666666667,1.9,"508A57BD-737B-474E-89FD-F4938F563071",91,827,1,74,234,2,156,0,25,22,39,1432,16,390
"48",742,"THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574","GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,NA,NA,NA,"1995-01-01","1990-05-15","2021-09-24",61,FALSE,1,7973,"KENNET","SU2273169574",803053,1,"",2019-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796860,"2020-01-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,172,6.37,32,192.3,6.01,27,61,2.26,5,7,7,15.81,26,137,5.27,19.88,22.95,86.62,12.33,14.56,84.68,27,206,7.63,33,267,8.09,56,81,69.14,38,58,65.52,32,195.6,6.11,"No",2019,10,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3","TH-PKER0052",0.057,91.1,15.4,0.035,0.00081,7.8,7.77,8.1,9.08,0.03,NA,NA,3,2,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3",72,1221,6,186,1376,0,95,0,144,17,64,3123,29,1471
"49",779,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",35665,1,"SU",67447,54575,"SU6744754575","GB106039017080",65,3.3,6.92,1,6,40,8,71,15,6,256,NA,NA,NA,"2012-10-04","2002-05-24","2021-08-11",51,FALSE,1,8381,"LODDON","SU6744754575",804689,1,"",2019-09-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",795941,"2019-11-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,111,5.55,24,144.2,6.01,17,24,1.41,5,5,5,7.06,18,103,5.72,17.38,20.06,86.64,10.29,12.96,79.4,20,154,7.7,23,189,8.22,39,50,78,30,43,69.77,24,140.4,5.85,"No",2019,9,"90CC1787-EC9D-4378-A46C-F02B24AB7BB8","TH-PLDR0096",0.021,102,12,0.0057,0.00063,5.69,5.68,8.04,11,0.03,NA,NA,33.7,6.7,"90CC1787-EC9D-4378-A46C-F02B24AB7BB8",25,860,0,43,65,0,412,0,292,86,37,1789,12,477
"50",793,"THAMES - WEST","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WYE (THAMES",35783,1,"SU",89550,86492,"SU8955086492","GB106039023880",26,3.3,17.33,3,7,30,6,65,23,6,247,NA,NA,NA,"1995-01-01","1989-10-04","2019-09-06",48,FALSE,1,8549,"WYE (THAMES","SU8955086492",800818,1,"",2019-09-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",795388,"2019-11-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,83,5.93,15,88.3,5.89,10,16,1.6,5,3,5,8,13,72,5.54,15.02,16.49,91.09,9.03,10.48,86.16,12,99,8.25,13,115,8.85,28,38,73.68,24,34,70.59,15,87.3,5.82,"No",2019,9,"58217BCA-714B-4A4E-9990-CE0B3D900946","TH-PWYR0015",NA,NA,NA,NA,NA,NA,NA,8.29,NA,NA,NA,NA,NA,NA,"58217BCA-714B-4A4E-9990-CE0B3D900946",19,1596,13,441,234,0,81,0,7,35,19,2426,8,315
