"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrate as N_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved, % Saturation_%","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"30",394,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2022-05-10",81,FALSE,1,5144,"ASH (LEE)","TL4242016910",704532,1,"",2014-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",689688,"2014-12-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,114,5.18,23,125.3,5.45,20,32,1.6,5,5,5,8,18,94,5.22,15.14,19.92,76,7.52,11.64,64.6,21,156,7.43,26,208,8,36,56,64.29,26,47,55.32,23,121.6,5.29,"No",2014,10,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",6.96,0.02335,0.00055,9.33,0.0225,12.15,0.041,87.1,7.81,6.985,NA,NA,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",182,264,0,67,124,0,121,0,133,91,33,985,12,245
"31",395,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2022-11-23",78,FALSE,1,5196,"ASH (LEE)","TL3770013300",704551,1,"",2014-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",686751,"2014-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,132,6,27,166.6,6.17,17,30,1.76,7,5,7,12.35,22,116,5.27,17.9,20.72,86.39,9.8,12.23,80.13,21,162,7.71,24,193,8.04,33,50,66,31,48,64.58,27,162.6,6.02,"No",2014,10,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",6.87,0.02355,0.0006,8.84,0.259,14.25,0.032,86.5,7.875,6.895,NA,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",35,404,0,42,68,0,70,0,57,31,34,709,12,138
"32",397,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2022-04-12",78,FALSE,2,5257,"STEVENAGE BROOK","TL2870020400",702746,1,"",2014-10-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",685451,"2014-10-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,74,4.35,19,87.2,4.59,11,17,1.55,3,3,3,4.64,14,62,4.43,5.76,9.67,59.57,3.51,5.71,61.47,15,97,6.47,15,97,6.47,10,31,32.26,13,33,39.39,19,87,4.58,"No",2014,10,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",4.25,0.0494,0.00133,10.4,0.125,17.9,0.041,110,8.00666666666667,4.3,NA,3,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",93,179,2,1,2,0,13,0,34,10,23,335,3,15
"33",397,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2022-04-12",78,FALSE,2,5259,"STEVENAGE BROOK","TL2870020400",722128,1,"",2014-11-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",711254,"2014-11-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,87,4.58,20,85.8,4.29,21,26,1.24,3,3,3,3.71,13,52,4,7.51,14.12,53.19,3.76,6.92,54.34,17,111,6.53,23,153,6.65,16,49,32.65,16,39,41.03,20,91.3,4.57,"No",2014,11,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",4.25,0.0494,0.00133,10.4,0.125,17.9,0.041,110,8.00666666666667,4.3,NA,3,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",175,260,3,3,61,0,35,0,157,64,33,764,8,96
"34",411,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","DUN (KENNET)",34404,1,"SU",29925,67199,"SU2992567199","GB106039017350",125,1.1,8.19,3,4.4,44,3,41,12,44,235,NA,NA,NA,"2013-12-01","2011-05-25","2016-10-18",10,FALSE,1,5340,"DUN (KENNET)","SU2992567199",703315,1,"",2014-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",703610,"2015-03-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,144,5.33,31,172.5,5.56,20,42,2.1,5,5,5,10.5,24,113,4.71,14,17.31,80.88,6.29,9.94,63.28,27,190,7.04,33,248,7.52,34,61,55.74,26,49,53.06,31,170.4,5.5,"No",2014,10,"7295DA9E-36B5-4CD4-B40B-0E5E8D15A729","TH-PKER0280",5.01333333333333,0.0194333333333333,0.000493333333333333,8.93,0.038,13,0.03,84.9,7.84333333333333,5.03333333333333,NA,NA,NA,"7295DA9E-36B5-4CD4-B40B-0E5E8D15A729",3,139,1,32,44,0,47,0,60,60,51,396,16,91
"35",430,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","LAMBOURN",34649,1,"SU",48847,67344,"SU4884767344","GB106039023220",74,1.3,25.3,5,7,47,2,68,18,12,237,NA,NA,NA,"1995-01-01","1995-04-04","2017-10-04",20,FALSE,1,5438,"LAMBOURN","SU4884767344",701399,1,"",2014-09-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",698848,"2014-09-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,140,5.83,26,157.3,6.05,22,44,2,5,5,5,10,19,109,5.74,20.52,24.57,83.52,11.77,15.66,75.16,24,189,7.88,29,239,8.24,42,61,68.85,34,53,64.15,26,153.9,5.92,"No",2014,9,"C4DB7529-F37F-4BFC-856A-09022C0D2A36","TH-PKER0058",NA,NA,NA,NA,NA,NA,NA,NA,8.01,NA,NA,6.23,NA,"C4DB7529-F37F-4BFC-856A-09022C0D2A36",306,2500,1,81,114,0,149,12,37,42,36,3242,16,275
"36",449,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","PENWOOD STREAM",34756,1,"SU",44852,63330,"SU4485263330","GB106039017210",93,6,5.6,1,2.9,18.8,11,67,13,9,56,NA,NA,NA,"2012-10-04","1993-11-01","2017-10-04",9,FALSE,1,5551,"PENWOOD STREAM","SU4485263330",700510,1,"",2014-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",698844,"2014-09-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,170,6.3,29,178.9,6.17,23,38,1.65,3,7,7,11.57,23,131,5.7,17.01,19.95,85.26,10.5,13.65,76.92,26,192,7.38,31,236,7.61,37,58,63.79,30,47,63.83,29,182,6.28,"No",2014,9,"FE610353-0043-4552-B28E-F7759D04382E","TH-PKER0120",0.552,0.0077,0.00058,7.74,0.063,17.5,0.051,81.1,7.55,0.56,NA,NA,NA,"FE610353-0043-4552-B28E-F7759D04382E",121,50,0,137,24,0,8,32,28,165,37,566,16,64
"37",477,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","WEST END BROOK",35086,1,"SU",65808,63322,"SU6580863322","GB106039017300",60,2,6.6,1,2.3,14.8,4,60,20,16,68,NA,NA,NA,"2012-10-04","1990-08-24","2017-10-11",13,FALSE,1,5739,"WEST END BROOK","SU6580863322",700372,1,"",2014-09-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",698840,"2014-09-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,106,5.3,21,109.7,5.22,16,19,1.19,3,5,5,5.94,16,84,5.25,10.01,13.68,73.17,6.27,10.63,58.98,19,138,7.26,23,173,7.52,23,42,54.76,22,39,56.41,21,111.9,5.33,"No",2014,9,"41503AA4-E6A4-47EC-8ED0-BA9A482C70BD","TH-PKER0151",0.196,0.004,0.00109,8.55,0.027,19.5,0.03,93.3,8.02,0.2,NA,NA,NA,"41503AA4-E6A4-47EC-8ED0-BA9A482C70BD",187,70,0,203,18,2,5,0,51,135,27,674,8,23
"38",489,"THAMES - WEST","THAMES","RAY (WILTS)","RIVER: Natural/semi-natural flowing fresh watercourse","LYDIARD BROOK",35100,1,"SU",12198,86904,"SU1219886904","GB106039023310",88,1.4,5.51,1,2.8,16.67,13,20,22,45,220,NA,NA,NA,"1995-01-01","1990-11-12","2014-10-28",22,FALSE,1,5843,"LYDIARD BROOK","SU1219886904",704505,2,"",2014-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",725089,"2015-01-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,93,4.89,24,109.3,4.55,18,26,1.44,3,3,3,4.33,19,80,4.21,3.13,9.5,32.95,3.26,9.56,34.1,19,120,6.32,22,138,6.27,6,55,10.91,12,43,27.91,24,114.4,4.77,"No",2014,10,"68348F36-3BC2-4A9B-8458-3240B59E5386","TH-PUTR0251",0.38025,0.0297,0.0035175,5.23,0.04925,19.25,0.09675,56.75,8.035,0.41,NA,NA,NA,"68348F36-3BC2-4A9B-8458-3240B59E5386",201,253,0,308,20,11,1,0,729,129,41,1664,6,21
"39",529,"THAMES - WEST","THAMES","OCK","RIVER: Natural/semi-natural flowing fresh watercourse","WOODHILL BROOK",35221,1,"SU",37883,89886,"SU3788389886","GB106039023370",78,5,1.94,1,2.2,23.33,2,5,12,82,293,NA,NA,NA,"1995-01-01","1990-02-21","2014-09-18",18,FALSE,1,6159,"WOODHILL BROOK","SU3788389886",700979,1,"",2014-09-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",697920,"2015-01-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,55,3.67,18,59.6,3.31,11,15,1.36,3,3,3,4.09,17,65,3.82,2.5,8,31.25,1.25,6.12,20.42,14,80,5.71,14,81,5.79,4,39,10.26,5,41,12.2,18,71.2,3.96,"No",2014,9,"204B8516-7EF9-458F-86BE-96BD5B2DB43B","TH-POCR0034",2.62,0.229,0.0561,3.85,0.652,16.8,2.81,39.8,7.82,2.85,NA,NA,NA,"204B8516-7EF9-458F-86BE-96BD5B2DB43B",354,578,60,2,0,0,1,0,142,4102,29,5258,1,1
"40",544,"THAMES - WEST","THAMES","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","SULHAM BROOK",35261,1,"SU",64233,74102,"SU6423374102","GB106039023280",43,1.2,2.3,1,12.2,19,0,3,3,93,242,NA,NA,NA,"1995-01-01","1990-04-25","2023-03-20",44,FALSE,1,6297,"SULHAM BROOK","SU6423374102",703668,1,"",2014-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",689385,"2014-12-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,86,4.3,22,97.5,4.43,16,28,1.75,5,3,5,8.75,16,63,3.94,3.37,10.21,33.01,0.75,4.66,16.09,18,107,5.94,21,130,6.19,6,38,15.79,8,34,23.53,22,101.6,4.62,"No",2014,10,"CB070AC1-950E-4F0B-9234-2C40B7D91DC2","TH-PPSR0006",0.897666666666667,0.0182,0.00031,6.35666666666667,0.0233333333333333,15.0666666666667,0.0393333333333333,63.4,7.47,0.916666666666667,NA,NA,NA,"CB070AC1-950E-4F0B-9234-2C40B7D91DC2",342,13,0,32,13,0,0,0,1556,241,34,2221,3,13
"41",545,"THAMES - WEST","THAMES","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","SULHAM BROOK",35262,1,"SU",64522,76792,"SU6452276792","GB106039023280",39,0.3,5.96,1,2.8,31.67,3,15,20,62,250,NA,NA,NA,"1995-01-01","1990-04-25","2014-10-30",23,FALSE,1,6314,"SULHAM BROOK","SU6452276792",704870,1,"",2014-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",689985,"2014-12-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,58,3.87,17,58.6,3.45,12,21,1.75,3,3,3,5.25,11,39,3.55,1.5,6.76,22.19,0.75,4.44,16.89,14,72,5.14,18,97,5.39,3,42,7.14,5,38,13.16,17,68.1,4.01,"No",2014,10,"BA9186AF-BC3A-4F2F-86F4-8EA77C5CF9DD","TH-PPSR0007",15.715,0.2695,0.00551,5.255,1.125,16.9,0.373,53.7,7.66,15.98,NA,NA,NA,"BA9186AF-BC3A-4F2F-86F4-8EA77C5CF9DD",265,2100,43,5,35,0,0,0,263,68,27,2782,1,35
"42",550,"THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","HIGHFURLONG BROOK",35269,1,"SP",47257,47790,"SP4725747790","GB106039042660",98,1.1,14.2,1,2.1,19,0,0,7,93,154,NA,NA,NA,"1995-01-01","1990-03-06","2014-09-11",24,FALSE,1,6365,"HIGHFURLONG BROOK","SP4725747790",699762,1,"",2014-09-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",688968,"2014-11-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,47,4.7,10,42.4,4.24,9,12,1.33,1,1,1,1.33,9,37,4.11,1,3.82,26.18,0.5,2.67,18.73,8,51,6.38,9,58,6.44,2,20,10,3,16,18.75,10,43.9,4.39,"No",2014,9,"29982010-B135-46D8-A2E3-1B40BF6A968B","TH-PCHR0050",6.125,0.02485,0.000455,7.6,0.683,15.25,0.0365,76,7.65,6.14,NA,NA,NA,"29982010-B135-46D8-A2E3-1B40BF6A968B",90,4,0,1,4,0,0,0,92,35,18,234,2,4
"43",564,"THAMES - WEST","THAMES","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","COOMBE BROOK",35334,1,"SP",23282,13873,"SP2328213873","GB106039030450",105,2.5,8.33,1,3.3,26,7,27,17,50,180,NA,NA,NA,"1995-01-01","1989-11-29","2014-09-15",25,FALSE,1,6466,"COOMBE BROOK","SP2328213873",700124,1,"",2014-09-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",693224,"2014-09-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,117,6.16,21,124.7,5.94,21,37,1.76,5,5,5,8.81,15,83,5.53,14.88,16.46,90.4,8.75,10.96,79.84,18,139,7.72,24,194,8.08,35,45,77.78,26,37,70.27,21,127.9,6.09,"No",2014,9,"EBC9720C-87E2-4366-8317-6CDF729B9922","TH-PWRR0009",6.78,0.0057,0.00086,8.86,0.086,16.2,0.03,90.4,8.28,6.79,NA,NA,NA,"EBC9720C-87E2-4366-8317-6CDF729B9922",1,140,0,231,26,0,10,18,409,64,31,900,12,54
"44",571,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BOW BROOK",35360,1,"SU",67709,58378,"SU6770958378","GB106039017140",53,1.5,12.46,2,5.1,22.67,5,42,13,40,196,NA,NA,NA,"1995-01-01","1995-05-22","2014-09-16",20,FALSE,1,6557,"BOW BROOK","SU6770958378",700399,1,"",2014-09-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",687313,"2014-11-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,150,5.77,29,170.5,5.88,26,39,1.5,5,5,5,7.5,24,126,5.25,18.01,23.53,76.54,11.55,17.62,65.55,25,190,7.6,36,282,7.83,44,75,58.67,32,54,59.26,29,168.1,5.8,"No",2014,9,"FDA5D022-8D18-4391-99A9-758FBE87D914","TH-PLDR0055",7.1,0.0165,0.00044,7.3,0.219,15,0.03,72.6,7.74,7.12,NA,NA,NA,"FDA5D022-8D18-4391-99A9-758FBE87D914",91,1202,0,359,461,12,180,0,239,498,50,3050,19,641
"45",593,"THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BYDEMILL BROOK (THAMES)",35460,1,"SU",19544,96520,"SU1954496520","GB106039023710",74,1,10.2,1,2.1,46,5,11,32,52,275,NA,NA,NA,"1995-01-01","1990-07-25","2014-10-30",19,FALSE,1,6872,"BYDEMILL BROOK (THAMES)","SU1954496520",704784,1,"",2014-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",688906,"2014-11-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,103,5.72,19,100.9,5.31,12,17,1.42,3,5,5,7.08,16,80,5,5.5,9.92,55.44,3.5,7.6,46.05,16,113,7.06,17,125,7.35,9,34,26.47,17,34,50,19,102.2,5.38,"No",2014,10,"109396B3-9F71-4BFC-8EC3-B1462DCF6490","TH-PUTR0238",6.64,0.0286666666666667,0.00164666666666667,7.83,1.34,16.3333333333333,0.0586666666666667,80.1333333333333,8.09333333333333,6.66666666666667,NA,NA,NA,"109396B3-9F71-4BFC-8EC3-B1462DCF6490",300,43,0,64,57,2,4,0,225,1029,28,1724,8,61
"46",603,"THAMES - WEST","THAMES","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","DIKLER",35478,1,"SP",18023,19756,"SP1802319756","GB106039030470",124,2.9,10.27,2,6.8,30,10,43,33,13,180,NA,NA,NA,"1995-01-01","1989-10-31","2020-09-23",38,FALSE,1,6970,"DIKLER","SP1802319756",702207,1,"",2014-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",686679,"2014-11-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",33,195,5.91,37,218,5.89,29,49,1.69,5,7,7,11.83,31,158,5.1,16.25,19.91,81.62,11.77,15.71,74.92,32,234,7.31,43,320,7.44,41,77,53.25,36,62,58.06,37,219,5.92,"No",2014,9,"39864231-E9B9-48F7-8525-915DC0F36E3D","TH-PWRR0005",6.94,0.01295,0.00081,8.33,0.209,15.35,0.03,83.35,8.22,6.95,NA,NA,NA,"39864231-E9B9-48F7-8525-915DC0F36E3D",175,801,4,1380,94,2,128,0,443,46,60,3113,24,222
"47",613,"THAMES - WEST","THAMES","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35507,1,"SP",17863,17640,"SP1786317640","GB106039030440",120,1.7,20.58,4,7,38.33,5,67,23,5,178,NA,NA,NA,"1995-01-01","1989-10-31","2020-09-23",40,FALSE,1,7148,"WINDRUSH","SP1786317640",704250,1,"",2014-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",693206,"2014-10-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,134,5.83,25,159.5,6.38,25,47,1.88,5,5,5,9.4,19,118,6.21,20.26,25.04,80.91,11.27,15.89,70.93,22,171,7.77,31,254,8.19,46,66,69.7,32,51,62.75,25,156,6.24,"No",2014,10,"06E1CD36-3E04-41C9-AA40-8751C2CDC930","TH-PWRR0023",7.06,0.0106,0.00078,9.6,0.053,14.8,0.03,95,8.24,7.07,NA,NA,NA,"06E1CD36-3E04-41C9-AA40-8751C2CDC930",62,1201,10,209,111,0,140,0,18,42,36,1794,16,251
"48",633,"THAMES - SOUTH EAST","THAMES","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CAKER STREAM",35570,1,"SU",72888,39604,"SU7288839604","GB106039017730",99,3.3,5.25,1,3.7,6,17,68,9,6,244,NA,NA,NA,"2012-10-04","1999-03-29","2014-09-15",6,FALSE,1,7301,"CAKER STREAM","SU7288839604",700296,1,"",2014-09-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",697621,"2015-01-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,130,5.2,29,156.3,5.39,21,26,1.24,3,5,5,6.19,23,108,4.7,11.27,15.17,74.29,10.29,12.74,80.77,24,168,7,28,193,6.89,28,62,45.16,26,49,53.06,29,158.2,5.46,"No",2014,9,"4D1B54D7-AA29-44EA-B8A3-F45D19F81FE1","TH-PWER0089",4.40666666666667,0.0241666666666667,0.00058,8.98666666666667,0.0473333333333333,15.1,0.0386666666666667,89.5666666666667,7.74666666666667,4.43,NA,5.6,1,"4D1B54D7-AA29-44EA-B8A3-F45D19F81FE1",137,616,2,97,261,0,37,3,298,39,49,1525,14,301
"49",662,"THAMES - WEST","THAMES","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WYE (THAMES",35782,1,"SU",87777,92372,"SU8777792372","GB106039023880",60,3.3,7.6,2,2.8,26,11,59,13,17,232,NA,NA,NA,"1995-01-01","1989-10-04","2019-11-01",44,FALSE,1,7654,"WYE (THAMES","SU8777792372",704530,1,"",2014-10-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690296,"2014-12-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,85,5,21,111.6,5.31,14,23,1.64,5,3,5,8.21,17,91,5.35,11.38,14.7,77.41,8.05,11.93,67.48,17,128,7.53,17,135,7.94,29,46,63.04,25,42,59.52,21,111,5.29,"No",2014,10,"658AC00E-10A0-4ED5-AA85-D871D9001C67","TH-PWYR0012",5.46,0.0189,0.00088,7.925,0.02,17.25,0.03,82.7,7.975,5.48,NA,6.09,NA,"658AC00E-10A0-4ED5-AA85-D871D9001C67",30,3002,3,16,124,0,171,0,31,467,33,3847,11,295
