"","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"686","THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","STOKE BROOK",35274,1,"SP",80583,12858,"SP8058312858",480583,212858,"GB106039030320",75,3.3,9.03,1,1.9,15,2,49,27,22,241,,,,1995-01-01,1990-03-21,2018-11-08,27,FALSE
"687","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",35276,1,"SU",79646,62259,"SU7964662259",479646,162259,"GB106039017290",50,1.2,27.97,4,,,,,,,,,,,,2005-05-13,2007-11-08,6,FALSE
"688","THAMES - SOUTH EAST","THAMES SOURCE TO TEDDINGTON (SE SECTION)","DITCH: Artificial channel used primarily for land drainage","BOVENEY DITCH",35295,1,"SU",94304,78973,"SU9430478973",494304,178973,"GB106039023540",22,0.5,3,1,,,,,,,246,,,,2012-10-04,1993-02-22,2009-10-23,4,FALSE
"689","THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","ROWSHAM BROOK",35311,1,"SP",84711,17612,"SP8471117612",484711,217612,"GB106039030410",78,1.1,2.5,1,3.6,31.33,0,28,20,52,227,,,,1995-01-01,1990-08-20,2005-10-11,13,FALSE
"690","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","LAWBROOK",35326,1,"TQ",1560,46581,"TQ0156046581",501560,146581,"GB106039017840",45,8.3,11.01,1,,,,,,,,,,,,2008-05-16,2008-10-29,2,FALSE
"691","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","EYNSHAM WHARF STREAM",35330,1,"SP",44625,8853,"SP4462508853",444625,208853,"GB106039030333",62,1.7,9.49,1,4.5,100,2,8,12,78,228,,,,1995-01-01,1989-11-23,2008-09-30,16,FALSE
"692","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","LIMB BROOK",35331,1,"SP",43639,8131,"SP4363908131",443639,208131,"GB106039030310",65,1.3,8.2,1,2.6,31.67,0,13,15,72,204,,,,1995-01-01,1989-11-23,2007-10-30,13,FALSE
"693","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","RADCOT CUT",35332,1,"SP",32363,683,"SP3236300683",432363,200683,"GB106039030230",66,0.4,11.9,2,6,21.67,0,57,33,10,233,,,,1995-01-01,1989-11-23,2015-09-17,14,FALSE
"694","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","SHERBORNE BROOK",35333,1,"SP",18016,14683,"SP1801614683",418016,214683,"GB106039030460",115,2.4,18.88,3,5.1,17.67,1,62,21,17,205,,,,1995-01-01,1989-11-29,2013-11-20,24,FALSE
"695","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","COOMBE BROOK",35334,1,"SP",23282,13873,"SP2328213873",423282,213873,"GB106039030450",105,2.5,8.33,1,3.3,26,7,27,17,50,180,,,,1995-01-01,1989-11-29,2014-09-15,25,FALSE
"696","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLESTOCK BROOK",35335,1,"SP",27804,18466,"SP2780418466",427804,218466,"GB106039029910",97,1.7,5.1,1,2,10,23,18,20,38,202,,,,1995-01-01,1989-11-29,2021-08-16,22,FALSE
"697","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","HEYTHROP STREAM",35336,1,"SP",37717,24935,"SP3771724935",437717,224935,"GB106039030030",69,5,5.71,5,1.7,20,12,27,30,32,205,,,,1995-01-01,1989-11-29,2013-09-26,16,FALSE
"698","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","COLDRON BROOK",35337,1,"SP",34289,20597,"SP3428920597",434289,220597,"GB106039029970",85,1.7,3.65,1,1.7,25.3,0,0,0,100,211,,,,2013-12-01,2013-05-24,2015-11-23,4,FALSE
"699","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","CHACOMBE BROOK",35342,1,"SP",47040,43831,"SP4704043831",447040,243831,"GB106039037280",94,3.3,8.5,1,1.1,14,0,0,0,100,180,,,,1995-01-01,1989-10-25,2015-09-11,20,FALSE
"700","THAMES - WEST","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WYE (THAMES",35358,1,"SU",84048,94023,"SU8404894023",484048,194023,"GB106039023890",80,4.8,2.9,1,10.5,10.67,0,61,25,13,260,,,,1995-01-01,2000-03-31,2015-10-22,28,FALSE
"701","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","WADLEY STREAM",35359,1,"SP",36588,29,"SP3658800029",436588,200029,"GB106039023770",65,0.3,8.84,1,2.3,35,0,0,0,100,269,,,,1995-01-01,1989-10-17,2013-09-16,15,FALSE
"702","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BOW BROOK",35360,1,"SU",67709,58378,"SU6770958378",467709,158378,"GB106039017330",53,1.5,12.46,2,5.1,22.67,5,42,13,40,196,,,,1995-01-01,1995-05-22,2014-09-16,20,FALSE
"703","THAMES - WEST","COLN","RIVER: Natural/semi-natural flowing fresh watercourse","COLN",35363,1,"SP",3684,14593,"SP0368414593",403684,214593,"GB106039029990",145,3.2,14.46,4,,,,,,,,,,,,2006-03-13,2013-11-19,14,FALSE
"704","THAMES - SOUTH EAST","THAMES SOURCE TO TEDDINGTON (SE SECTION)","DITCH: Artificial channel used primarily for land drainage","MAIDENHEAD DITCH",35365,1,"SU",89781,79854,"SU8978179854",489781,179854,"GB106039023510",23,0.5,4.881,1,15.7,56.67,0,5,5,90,223,,,,1995-01-01,1990-03-12,2016-10-04,27,FALSE
"705","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","DITCH: Artificial channel used primarily for land drainage","HOWBERY DITCH",35366,1,"SU",61909,90234,"SU6190990234",461909,190234,"GB106039030331",50,0.2,1.2,1,1.4,8,0,3,47,50,240,,,,1995-01-01,1990-11-16,2007-11-27,13,FALSE
"706","THAMES - WEST","COLE","RIVER: Natural/semi-natural flowing fresh watercourse","LIDEN BROOK",35371,1,"SU",21256,86085,"SU2125686085",421256,186085,"GB106039022860",90,2.5,7.4,1,2,50.33,0,8,22,70,224,,,,1995-01-01,1989-09-27,2015-05-13,13,FALSE
"707","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",35376,1,"SU",77692,78323,"SU7769278323",477692,178323,"GB106039023160",34,0.4,44.992,7,15,200,0,0,0,100,209,,,,1995-01-01,1989-10-04,2004-11-03,23,FALSE
"708","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",35378,1,"SU",66071,52832,"SU6607152832",466071,152832,"GB106039017080",74,3.3,4.24,1,7.5,50,8,62,25,5,256,,,,2016-11-23,1996-12-13,2020-10-14,15,FALSE
"709","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","NORTHFIELD BROOK",35382,1,"SP",54464,2442,"SP5446402442",454464,202442,"GB106039030180",58,1,5.62,1,3.3,25.33,10,43,37,10,249,,,,1995-01-01,1995-03-08,2005-11-02,9,FALSE
"710","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BLACKWATER (THAMES)",35400,1,"SU",85544,59654,"SU8554459654",485544,159654,"GB106039017290",58,1.2,19,2,,,,,,,,,,,,2002-05-24,2003-10-02,4,FALSE
"711","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (NORTH)",35402,1,"SU",80324,44244,"SU8032444244",480324,144244,"GB106039017830",73,1.7,13.118,2,7.1,28.33,10,32,40,18,253,,,,1995-01-01,1995-03-08,2021-04-08,41,FALSE
"712","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","FAWLEY COURT STREAM",35405,1,"SU",76383,84617,"SU7638384617",476383,184617,"GB106039023233",37,2.5,0.8,1,3.2,31.67,5,12,23,60,300,,,,1995-01-01,1990-02-22,2007-11-16,11,FALSE
"713","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLLINS BROOK",35407,1,"TQ",7278,36114,"TQ0727836114",507278,136114,"GB106039017810",55,2.9,1.65,1,1.6,22,0,1,2,97,,,,,2016-11-23,1990-05-09,2021-03-30,93,FALSE
"714","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","EWELME STREAM",35422,1,"SU",63117,92185,"SU6311792185",463117,192185,"GB106039023610",65,7.7,2.15,1,,,,,,,,,,,,1997-06-03,2004-09-27,3,FALSE
"715","THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","TANNERS BROOK",35423,1,"TQ",19513,49051,"TQ1951349051",519513,149051,"GB106039017570",50,8,4.91,1,1.5,15.5,5,75,5,15,111,,,,2012-10-04,2013-05-08,2015-11-17,4,FALSE
"716","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",35427,1,"SU",70580,62427,"SU7058062427",470580,162427,"GB106039017330",46,0.6,20.89,4,,,,,,,,,,,,2009-09-25,2009-09-25,1,FALSE
"717","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","VYNE STREAM",35440,1,"SU",63980,57560,"SU6398057560",463980,157560,"GB106039017110",64,2.9,2.965,2,3.1,17.67,3,52,18,27,219,,,,1995-01-01,1990-05-11,2015-03-11,20,FALSE
"718","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BOW BROOK",35441,1,"SU",63648,58759,"SU6364858759",463648,158759,"GB106039017160",65,4,6.67,1,4.4,26.7,14,50,28,8,196,,,,2012-10-04,2013-03-27,2013-09-27,2,FALSE
"719","THAMES - WEST","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","PANG",35443,1,"SU",59031,72038,"SU5903172038",459031,172038,"GB106039023300",55,2,15.2,1,6.7,33.33,2,35,43,20,218,,,,1995-01-01,1989-03-17,2021-04-16,50,FALSE
"720","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COBBLERS BROOK",35448,1,"TQ",7940,35200,"TQ0794035200",507940,135200,"GB106039017810",55,1.9,8.72,1,,,,,,,,,,,,2021-03-30,2021-03-30,1,FALSE
"721","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CRANLEIGH WATERS",35449,1,"TQ",7739,36529,"TQ0773936529",507739,136529,"GB106039017810",55,1.4,9.59,1,,,,,,,,,,,,2014-05-21,2018-05-20,9,FALSE
"722","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","GLYME",35455,1,"SP",43930,19580,"SP4393019580",443930,219580,"GB106039030010",84,2,11.47,1,6.3,38.33,20,28,22,30,230,,,,1995-01-01,1989-10-12,2015-09-22,28,FALSE
"723","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","DORN",35456,1,"SP",44679,19830,"SP4467919830",444679,219830,"GB106039037380",84,2.5,19.69,1,3.6,28.33,3,50,32,15,257,,,,1995-01-01,1989-10-12,2019-10-11,26,FALSE
"724","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","BYDEMILL BROOK (THAMES)",35460,1,"SU",19544,96520,"SU1954496520",419544,196520,"GB106039023710",74,1,10.2,1,2.1,46,5,11,32,52,275,,,,1995-01-01,1990-07-25,2014-10-30,19,FALSE
"725","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","WESTROP BROOK",35461,1,"SU",19314,96056,"SU1931496056",419314,196056,"GB106039023710",77,1.1,3.35,1,1.8,35.33,0,3,13,83,249,,,,1995-01-01,1990-06-22,2005-10-13,12,FALSE
"726","THAMES - WEST","CHERWELL AND RAY (OXON)","DITCH: Artificial channel used primarily for land drainage","GUBBINSHOLE DITCH",35462,1,"SP",66388,22480,"SP6638822480",466388,222480,"GB106039030110",66,1,2.2,1,1.4,18.33,0,0,0,100,202,,,,1995-01-01,1988-12-13,2013-04-24,15,FALSE
"727","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","LUDGERSHALL BROOK",35463,1,"SP",65224,19509,"SP6522419509",465224,219509,"GB106039030060",62,1.1,6.5,1,1,10.33,0,0,0,100,235,,,,1995-01-01,1990-05-29,2016-09-23,20,FALSE
"728","THAMES - WEST","CHERWELL AND RAY (OXON)","DITCH: Artificial channel used primarily for land drainage","LEYS FARM DITCH",35464,1,"SP",52205,21715,"SP5220521715",452205,221715,"GB106039030130",86,3.5,5.39,1,2.1,15,10,30,50,10,228,,,,1995-01-01,1990-05-29,2016-03-21,19,FALSE
"729","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","COVE BROOK",35465,1,"SU",86203,58108,"SU8620358108",486203,158108,"GB106039017130",61,1.5,5.462,1,5.3,37.67,5,8,8,78,79.3,,,,1995-01-01,1990-03-08,2018-09-25,27,FALSE
"730","THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BOW BROOK",35466,1,"SU",67583,58836,"SU6758358836",467583,158836,"GB106039017330",53,1.3,11.317,2,5.7,80,0,5,5,90,193,,,,1995-01-01,1990-03-21,2003-09-15,19,FALSE
"731","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","GALLOS BROOK",35471,1,"SP",53079,14231,"SP5307914231",453079,214231,"GB106039030090",58,0.9,14.7,1,2.7,13.33,4,50,23,23,242,,,,1995-01-01,1989-10-12,2005-09-29,21,FALSE
"732","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","SWILL BROOK",35476,1,"SU",5021,93106,"SU0502193106",405021,193106,"GB106039023700",82,1.1,14.67,1,4.7,40,4,16,48,32,174,,,,1995-01-01,1990-03-14,2013-10-18,21,FALSE
"733","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","EVENLODE",35477,1,"SP",42035,14813,"SP4203514813",442035,214813,"GB106039029960",70,1,56.39,4,12.3,51.67,17,35,33,15,200,,,,1995-01-01,1994-11-23,2014-09-18,18,FALSE
"734","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","DIKLER",35478,1,"SP",18023,19756,"SP1802319756",418023,219756,"GB106039030470",124,2.9,10.27,2,6.8,30,10,43,33,13,180,,,,1995-01-01,1989-10-31,2017-11-06,37,FALSE
"735","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","EYE",35479,1,"SP",16366,22549,"SP1636622549",416366,222549,"GB106039037450",138,3.4,6.88,1,6.2,23.67,3,27,18,52,170,,,,1995-01-01,1989-10-31,2015-03-09,26,FALSE
"736","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","SOR BROOK",35480,1,"SP",47475,34663,"SP4747534663",447475,234663,"GB106039037250",85,1.3,22.3,3,5.3,116.67,1,17,35,47,177,,,,1995-01-01,1990-03-08,2014-04-17,27,FALSE
"737","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","SWERE",35481,1,"SP",46117,33234,"SP4611733234",446117,233234,"GB106039037220",88,2,20.24,2,5.1,23.33,37,40,8,15,189,,,,1995-01-01,1989-10-25,2019-10-10,31,FALSE
"738","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35482,1,"SP",30154,10696,"SP3015410696",430154,210696,"GB106039030440",95,1.4,49.27,5,,,,,,,,,,,,2000-05-12,2005-10-17,12,FALSE
"739","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35484,1,"SP",39756,5393,"SP3975605393",439756,205393,"GB106039030440",70,0.6,67.52,5,7.7,47,2,52,37,9,187,,,,1995-01-01,1995-03-29,2006-10-26,19,FALSE
"740","THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35489,1,"SU",61842,68631,"SU6184268631",461842,168631,"GB106039023140",51,2.1,82.82,6,9,120,1,12,30,57,233,,,,1995-01-01,1990-07-03,2015-03-11,25,FALSE
"741","THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35490,1,"SU",32265,70247,"SU3226570247",432265,170247,"GB106039023172",98,1.3,44.21,4,24,32,1,72,13,13,252,,,,1995-01-01,1993-10-08,2013-11-04,24,FALSE
"742","THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574",422731,169574,"GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,,,,1995-01-01,1990-05-15,2021-09-24,61,FALSE
"743","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35505,1,"SP",9913,24486,"SP0991324486",409913,224486,"GB106039030480",160,1.2,5.9,2,2.7,33.67,12,48,27,13,150,,,,1995-01-01,1995-05-16,2015-05-05,18,FALSE
"744","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35507,1,"SP",17863,17640,"SP1786317640",417863,217640,"GB106039030440",120,1.7,20.58,4,7,38.33,5,67,23,5,178,,,,1995-01-01,1989-10-31,2020-09-23,40,FALSE
"745","THAMES - WEST","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35509,1,"SP",20466,13161,"SP2046613161",420466,213161,"GB106039030440",110,1.3,34.09,4,6.2,64.67,18,47,28,7,181,,,,1995-01-01,1995-03-09,2000-10-10,8,FALSE
"746","THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","BURSTOW STREAM",35512,1,"TQ",30500,41900,"TQ3050041900",530500,141900,"GB106039017520",58,3,8.76,1,,,,,,,,,,,,2002-05-21,2005-10-27,8,FALSE
"747","THAMES - WEST","AMPNEY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","AMPNEY BROOK",35513,1,"SU",9456,96903,"SU0945696903",409456,196903,"GB106039030300",88,1.2,8.8,3,4.2,32.3,2,61,24,13,184,,,,2011-01-01,2003-11-25,2012-09-12,16,FALSE
"748","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","DITCH: Artificial channel used primarily for land drainage","THRUPP DITCH",35514,1,"SP",48092,14886,"SP4809214886",448092,214886,"GB106039037430",65,1.7,1.11,1,,,,,,,,,,,,2000-07-17,2000-07-17,1,FALSE
"749","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","STRATFORD BROOK",35520,1,"TQ",7698,57042,"TQ0769857042",507698,157042,"GB106039017890",30,8,3.85,1,,,,,,,,,,,,2007-05-17,2007-11-23,2,FALSE
"750","THAMES - WEST","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WYE (THAMES",35528,1,"SU",87095,92721,"SU8709592721",487095,192721,"GB106039023880",62,3.3,4.5,1,4.7,41.8,3,33,24,40,246,,,,2011-01-01,2000-03-31,2014-09-30,27,FALSE
"751","THAMES - WEST","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HUGHENDEN STREAM",35529,1,"SU",86424,94520,"SU8642494520",486424,194520,"GB106039023900",80,5,2.14,1,2.3,14,5,80,10,5,243,,,,1995-01-01,1994-11-16,2014-10-16,22,FALSE
"752","THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","THAME",35533,1,"SP",66801,6544,"SP6680106544",466801,206544,"GB106039030240",61,0.6,44.84,4,5.8,38.33,15,49,17,19,242,,,,1995-01-01,1990-02-28,2015-05-28,22,FALSE
"753","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WARREN STREAM",35534,1,"SU",77832,35560,"SU7783235560",477832,135560,"GB106039017710",79,2.2,2.5,1,,,,,,,,,,,,2000-02-07,2000-02-07,1,FALSE
"754","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","SLEA",35535,1,"SU",77946,37637,"SU7794637637",477946,137637,"GB106039017740",71,4,4.9,1,2.5,16.7,17,37,14,32,66.9,,,,2012-10-04,2013-05-14,2013-09-27,2,FALSE
"755","THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","CHURN",35553,1,"SU",4779,97219,"SU0477997219",404779,197219,"GB106039029750",90,2,30,2,,,,,,,,,,,,2001-10-10,2002-03-27,2,FALSE
"756","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","BYFIELD BROOK",35555,1,"SP",52483,52589,"SP5248352589",452483,252589,"GB106039042650",140,10,5.06,1,1.6,11.67,0,0,0,100,171,,,,1995-01-01,1990-05-23,2007-11-07,15,FALSE
"757","THAMES - WEST","CHERWELL AND RAY (OXON)","DITCH: Artificial channel used primarily for land drainage","FARNBOROUGH DITCH",35557,1,"SP",42207,48462,"SP4220748462",442207,248462,"GB106039037340",117,5,3,1,1.4,15,5,15,13,67,158,,,,1995-01-01,1990-10-15,2004-10-05,13,FALSE
"758","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","OCKLEY BROOK",35558,1,"SP",51084,31799,"SP5108431799",451084,231799,"GB106039037230",85,3.3,7.8,1,4.2,48.33,2,5,7,87,244,,,,1995-01-01,1989-08-24,2013-09-25,18,FALSE
"759","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","CROUGHTON BROOK",35559,1,"SP",52437,32358,"SP5243732358",452437,232358,"GB106039037230",91,5,6,1,3.8,23.33,3,20,53,23,248,,,,1995-01-01,1990-05-23,2013-09-25,15,FALSE
"760","THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","HORNTON STREAM",35560,1,"SP",41919,43501,"SP4191943501",441919,243501,"GB106039037320",119,3.3,4.5,1,1.7,20,5,30,22,43,160,,,,1995-01-01,1991-11-20,2004-10-18,12,FALSE
"761","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","BLEDINGTON BROOK",35561,1,"SP",25034,22917,"SP2503422917",425034,222917,"GB106039030000",108,2,5.75,1,2.2,41.67,2,7,13,78,210,,,,1995-01-01,1990-11-19,2015-03-18,18,FALSE
"762","THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE COMPTON STREAM",35562,1,"SP",22460,30520,"SP2246030520",422460,230520,"GB106039037390",126,4,6.02,1,1.7,25,7,7,10,77,178,,,,1995-01-01,1990-10-18,2013-11-20,15,FALSE
"763","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CAKER STREAM",35569,1,"SU",73024,40021,"SU7302440021",473024,140021,"GB106039017830",95,2.6,5.31,1,8,26,4,16,37,43,244,,,,1995-01-01,1991-11-12,2010-10-07,21,FALSE
"764","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CAKER STREAM",35570,1,"SU",72888,39604,"SU7288839604",472888,139604,"GB106039017730",99,3.3,5.25,1,3.7,6,17,68,9,6,244,,,,2012-10-04,1999-03-29,2014-09-15,6,FALSE
"765","THAMES - SOUTH EAST","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (NORTH)",35571,1,"SU",72490,39784,"SU7249039784",472490,139784,"GB106039017800",97,3,2.64,1,,,,,,,247,,,,2012-10-04,1998-04-30,2012-07-23,24,FALSE
"766","THAMES - WEST","COLE","RIVER: Natural/semi-natural flowing fresh watercourse","LERTWELL BROOK",35572,1,"SU",25350,86051,"SU2535086051",425350,186051,"GB106039022920",97,4.5,1.6,1,1.1,8.33,4,12,8,76,242,,,,1995-01-01,1990-08-14,2013-11-01,12,FALSE
"767","THAMES - WEST","COLE","RIVER: Natural/semi-natural flowing fresh watercourse","LENTA BROOK(EAST)",35573,1,"SU",22344,87772,"SU2234487772",422344,187772,"GB106039022900",88,1.3,1,1,1.4,13.33,0,0,3,97,245,,,,1995-01-01,1990-08-14,2013-11-22,15,FALSE
"768","THAMES - WEST","THAME","DITCH: Artificial channel used primarily for land drainage","WARPSGROVE DITCH",35575,1,"SU",64209,99167,"SU6420999167",464209,199167,"GB106039023780",61,5.2,1.1,1,1.6,23.33,0,2,3,94,246,,,,1995-01-01,1990-05-30,2005-10-11,14,FALSE
"769","THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","LATCHFORD BROOK",35576,1,"SP",65475,1032,"SP6547501032",465475,201032,"GB106039023830",68,2,5.9,1,2,13.67,6,67,17,9,217,,,,1995-01-01,1990-05-30,2010-11-13,15,FALSE
"770","THAMES - WEST","THAME","DITCH: Artificial channel used primarily for land drainage","MILTON DITCH",35577,1,"SP",61914,4257,"SP6191404257",461914,204257,"GB106039030240",53,1,2.41,1,1,21.33,2,0,18,80,219,,,,1995-01-01,1990-05-30,2005-11-15,12,FALSE
"771","THAMES - WEST","THAME","DITCH: Artificial channel used primarily for land drainage","WHEATLEY DITCH",35578,1,"SP",61151,5135,"SP6115105135",461151,205135,"GB106039030240",55,10,4.43,1,1.2,24.33,2,2,10,87,206,,,,1995-01-01,1990-06-04,2008-09-22,19,FALSE
"772","THAMES - WEST","THAME","DITCH: Artificial channel used primarily for land drainage","POLECAT END DITCH",35579,1,"SP",59092,8157,"SP5909208157",459092,208157,"GB106039030360",70,14,0.5,1,0.4,4,3,0,0,97,234,,,,1995-01-01,1991-11-19,2008-09-22,14,FALSE
"773","THAMES - WEST","THAME","DITCH: Artificial channel used primarily for land drainage","BLACK DITCH",35587,1,"SP",72776,6611,"SP7277606611",472776,206611,"GB106039030200",67,1.1,3.58,1,1.9,20,0,0,0,100,195.5,,,,1995-01-01,1990-05-29,2004-09-30,11,FALSE
"774","THAMES - WEST","THAME","DITCH: Artificial channel used primarily for land drainage","BENNETTS DITCH",35588,1,"SP",67969,5459,"SP6796905459",467969,205459,"GB106039030240",64,6.7,2,1,1.1,4.67,8,70,17,5,166,,,,1995-01-01,1990-08-16,2007-09-29,20,FALSE
